SELLER,REBOUND TYPE,COSTUMER ID,ORDER NUMBER,DATE ATTENDED,DATE DELIVERED,PRODUCT,UNIT AMOUNT,QUANTITY,Amount per Item/Total Amount,REASON,Charged (Fortnight/Month/Year Number)
ABEL D,TOTAL,1796,30_1672675498060,3/1/2023,6/1/2023,Halconero Vinagre De Alcohol X 930 Cc,99,15,1485,WITHOUT MONEY,1Q/1/23
ABEL D,TOTAL,364,30_1672668194138,4/1/2023,7/1/2023,TOSTI TOSTADITAS FINITAS CLASICA DISPLAYX 140 G,215,10,2150,WITHOUT MONEY,1Q/1/23
ABEL D,TOTAL,364,30_1672668194138,4/1/2023,7/1/2023,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,1Q/1/23
ABEL D,TOTAL,364,30_1672668194138,4/1/2023,7/1/2023,Seven Up Packx6 Latax 354 Cc,720,4,2880,WITHOUT MONEY,1Q/1/23
ABEL D,TOTAL,364,30_1672668194138,4/1/2023,7/1/2023,Trym's Batatas Clasicas Sin Tacc X 65 G,165,5,825,WITHOUT MONEY,1Q/1/23
ABEL D,TOTAL,364,30_1672668194138,4/1/2023,7/1/2023,TOSTI TOSTADITAS FINITAS CLASICA DISPLAYX 140 G,215,10,2150,WITHOUT MONEY,1Q/1/23
ABEL D,TOTAL,1929,30_1673442419741,12/1/2023,15/1/2023,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,165,12,1980,Repeated order shipment,1Q/1/23
ABEL D,TOTAL,1929,30_1673442419741,12/1/2023,15/1/2023,Trym's Papas Fritas Clasicas Sin Tacc X 60 G,165,12,1980,Repeated order shipment,1Q/1/23
ABEL D,TOTAL,1929,30_1673442419741,12/1/2023,15/1/2023,Valena Promo Trapo De Piso Gris X 20 U,1645,20,32900,Repeated order shipment,1Q/1/23
ABEL D,TOTAL,1929,30_1673442419741,12/1/2023,15/1/2023,Vino Malbec Novecento Raices X 750ml,585,2,1170,Repeated order shipment,1Q/1/23
