Id Cliente,Date,Date Serv Since,Date Serv Until,Expire date,Mod,Number,Coin,Amount,Total Fact,Balance,Code,Countable account,Amount,Unit Price,Subtotal,Bonus,Subtotal Bonus,Deposit,Sale condition,Origin,Registration date
720586,03/04/2018,,,03/04/2018,Booking,00000008,$,38286,46326.06,0,HONORARIOS,4.1.5,3,12762,38286,0,0,CENTER,Cash,,06/04/2018
15163,10/05/2018,,,10/05/2018,Booking,00000017,$,118979.78,131472.66,0,HONORARIOS,4.1.5,1,118979.7828,118979.7828,0,0,CENTER,Cash,,10/05/2018
15163,14/05/2018,,,14/05/2018,Booking,00000002,$,-118979.78,-131472.66,0,HONORARIOS,4.1.2,-1,-118979.7828,-118979.7828,0,0,CENTER,Cash,,14/05/2018
15163,14/05/2018,,,14/05/2018,Booking,00000018,$,108655.09,131472.66,0,HONORARIOS,4.1.5,1,108655.0909,108655.0909,0,0,CENTER,Cash,,14/05/2018
15163,14/05/2018,,,14/05/2018,Booking,00000003,$,-108655.09,-131472.66,0,HONORARIOS,4.1.5,-1,-108655.0909,-108655.0909,0,0,CENTER,Cash,,14/05/2018
997434,14/05/2018,,,14/05/2018,Booking,00000019,$,118979.78,131472.66,0,HONORARIOS,4.1.5,1,118979.7828,118979.7828,0,0,CENTER,Cash,,14/05/2018
720586,16/05/2018,,,16/05/2018,Booking,00000009,$,7657.2,9265.21,0,HONORARIOS,4.1.5,1,7657.198347,7657.198347,0,0,CENTER,Cash,,30/05/2018
720586,02/07/2018,,,02/07/2018,Booking,00000010,$,12762,15442.02,0,HONORARIOS,4.1.5,1,12762,12762,0,0,CENTER,Cash,,02/07/2018
124630,13/07/2018,,,13/07/2018,Electric,00000001,$,297.52,360,0,910222,4.1.1,1,297.5206612,297.5206612,0,0,CENTER,Check,,13/07/2018
111113,13/07/2018,,,13/07/2018,Electric,00000002,$,0.83,1,0,COMUN,4.1.1,1,0.8264462809,0.8264462809,0,0,CENTER,MercadoPago,,13/07/2018
111113,13/07/2018,,,13/07/2018,Electric,00000003,$,0.83,1,0,COMUN,4.1.1,1,0.8264462809,0.8264462809,0,0,CENTER,MercadoPago,,13/07/2018
449977,13/07/2018,,,13/07/2018,Electric,00000004,$,6983.47,8450,0,099-2117-000,4.1.1,1,6983.471074,6983.471074,0,0,CENTER,MercadoPago,,13/07/2018
,13/07/2018,,,13/07/2018,Other,00000001,$,730,730,0,50005000002,4.1.4,1,200,200,0,0,CENTER,Cash,,13/07/2018
,13/07/2018,,,13/07/2018,Other,00000001,$,730,730,0,E410,4.1.4,1,490,490,0,0,CENTER,Cash,,13/07/2018
,13/07/2018,,,13/07/2018,Other,00000001,$,730,730,0,915172,4.1.4,1,40,40,0,0,CENTER,Cash,,13/07/2018
435351,13/07/2018,,,13/07/2018,Electric,00000005,$,309.92,375,0,911006,4.1.1,1,309.9173554,309.9173554,0,0,CENTER,Cash,,13/07/2018
686968,13/07/2018,,,13/07/2018,Other,00000002,$,30,30,0,098-0351-943,4.1.4,1,30,30,0,0,CENTER,Cash,,13/07/2018
689690,13/07/2018,,,13/07/2018,Other,00000003,$,795,795,0,50006200001,4.1.4,1,745,745,0,0,CENTER,Cash,,13/07/2018
689690,13/07/2018,,,13/07/2018,Other,00000003,$,795,795,0,915191,4.1.4,1,50,50,0,0,CENTER,Cash,,13/07/2018
253373,13/07/2018,,,13/07/2018,Other,00000004,$,350,350,0,EXL120,4.1.4,1,350,350,0,0,CENTER,Cash,,13/07/2018
253373,13/07/2018,,,13/07/2018,Other,00000005,$,120,120,0,Pila afinador,4.1.4,1,120,120,0,0,CENTER,Cash,,13/07/2018
253373,13/07/2018,,,13/07/2018,Other,00000006,$,165,165,0,SGC3,4.1.4,1,165,165,0,0,CENTER,Cash,,13/07/2018
275609,14/07/2018,,,14/07/2018,Electric,00000006,$,309.92,375,0,EJ27N,4.1.1,1,309.9173554,309.9173554,0,0,CENTER,Check,,14/07/2018
,14/07/2018,,,14/07/2018,Other,00000007,$,375,375,0,EJ27N,4.1.4,1,375,375,0,0,CENTER,Cash,,14/07/2018
87527,14/07/2018,,,14/07/2018,Electric,00000007,$,2471.07,2990,0,5ROM03000011,4.1.1,1,2471.07438,2471.07438,0,0,CENTER,MercadoPago,,14/07/2018
149180,16/07/2018,,,16/07/2018,Electric,00000008,$,2896.69,3505,0,MV141134,4.1.1,1,2896.694215,2896.694215,0,0,CENTER,MercadoPago,,16/07/2018
332331,16/07/2018,,,16/07/2018,Other,00000008,$,480,480,280,SGC6,4.1.4,2,240,480,0,0,CENTER,Cash,,16/07/2018
698060,17/07/2018,,,17/07/2018,Other,00000009,$,60,60,0,PL009,4.1.4,1,60,60,0,0,CENTER,Cash,,17/07/2018
317207,19/07/2018,,,19/07/2018,Other,00000010,$,1025,1025,0,PCT,4.1.4,1,1025,1025,0,0,CENTER,Cash,,19/07/2018
689594,20/07/2018,,,20/07/2018,Electric,00000009,$,11487.6,13900,0,233-0305-900,4.1.1,1,11487.60331,11487.60331,0,0,CENTER,Credit card,,20/07/2018
696259,21/07/2018,,,21/07/2018,Electric,00000010,$,227.27,275,0,MSTBFINISHG,4.1.2,1,227.2727273,227.2727273,0,0,CENTER,Cash,,21/07/2018
107871,21/07/2018,,,21/07/2018,Other,00000011,$,115,115,0,LAU5AW,4.1.4,1,115,115,0,0,CENTER,Cash,,21/07/2018
413573,23/07/2018,,,23/07/2018,Other,00000012,$,100,100,0,RECGER,4.1.4,1,100,100,0,0,CENTER,Cash,,23/07/2018
162689,23/07/2018,,,23/07/2018,Other,00000013,$,240,240,0,SGC6,4.1.4,1,240,240,0,0,CENTER,Cash,,23/07/2018
377960,24/07/2018,,,24/07/2018,Other,00000014,$,230,230,0,LAU5AW,4.1.4,2,115,230,0,0,CENTER,Cash,,24/07/2018
945993,24/07/2018,,,24/07/2018,Electric,00000011,$,206.61,250,0,JH024,4.1.1,1,206.6115702,206.6115702,0,0,CENTER,Check,,24/07/2018
893483,24/07/2018,,,24/07/2018,Other,00000015,$,2107.44,2550,0,H-008,4.1.2,1,2107.438017,2107.438017,0,0,CENTER,Cash,,24/07/2018
19248,24/07/2018,,,24/07/2018,Other,00000016,$,165,165,0,SGC3,4.1.4,1,165,165,0,0,CENTER,Cash,,24/07/2018
389283,25/07/2018,,,25/07/2018,Other,00000017,$,150,150,0,JD349,4.1.4,5,30,150,0,0,CENTER,Cash,,25/07/2018
507887,25/07/2018,,,25/07/2018,Other,00000018,$,120,120,0,J2706,4.1.4,1,120,120,0,0,CENTER,Cash,,25/07/2018
83283,25/07/2018,,,25/07/2018,Other,00000019,$,1000,1000,0,098-0351-380,4.1.4,4,25,100,0,0,CENTER,Cash,,25/07/2018
83283,25/07/2018,,,25/07/2018,Other,00000019,$,1000,1000,0,AC-QL-GS/438,4.1.4,1,665,665,0,0,CENTER,Cash,,25/07/2018
83283,25/07/2018,,,25/07/2018,Other,00000019,$,1000,1000,0,LA7AW,4.1.4,1,235,235,0,0,CENTER,Cash,,25/07/2018
508918,25/07/2018,,,25/07/2018,Other,00000020,$,250,250,0,098-0351-380,4.1.4,1,20,20,0,0,CENTER,Cash,,25/07/2018
508918,25/07/2018,,,25/07/2018,Other,00000020,$,250,250,0,EG700,4.1.4,1,190,190,0,0,CENTER,Cash,,25/07/2018
508918,25/07/2018,,,25/07/2018,Other,00000020,$,250,250,0,JD493,4.1.4,1,40,40,0,0,CENTER,Cash,,25/07/2018
119410,25/07/2018,,,25/07/2018,Electric,00000012,$,190.08,230,0,RSRCAJ,4.1.2,1,190.0826446,190.0826446,0,0,CENTER,Cash,,25/07/2018
923310,25/07/2018,,,25/07/2018,Electric,00000013,$,5262.81,6368,0,RSRCI,4.1.1,1,603.3057851,603.3057851,0,0,CENTER,Cash,,25/07/2018
923310,25/07/2018,,,25/07/2018,Electric,00000013,$,5262.81,6368,0,C542P,4.1.1,1,4409.090909,4409.090909,0,0,CENTER,Cash,,25/07/2018
923310,25/07/2018,,,25/07/2018,Electric,00000013,$,5262.81,6368,0,ADICIONAL,4.1.1,1,250.4132231,250.4132231,0,0,CENTER,Cash,,25/07/2018
689690,26/07/2018,,,26/07/2018,Other,00000021,$,190,190,0,EG700,4.1.4,1,190,190,0,0,CENTER,Cash,,26/07/2018
262898,26/07/2018,,,26/07/2018,Other,00000022,$,215,215,0,XL110,4.1.4,1,215,215,0,0,CENTER,Cash,,26/07/2018
713456,26/07/2018,,,26/07/2018,Electric,00000014,$,1293.39,1565,0,JBS-601,4.1.1,1,1293.38843,1293.38843,0,0,CENTER,MercadoPago,,26/07/2018
91882,26/07/2018,,,26/07/2018,Other,00000023,$,60,60,0,098-0351-908,4.1.4,1,30,30,0,0,CENTER,Cash,,26/07/2018
91882,26/07/2018,,,26/07/2018,Other,00000023,$,60,60,0,098-0351-909,4.1.4,1,30,30,0,0,CENTER,Cash,,26/07/2018
181290,26/07/2018,,,26/07/2018,Other,00000024,$,50,50,0,098-0351-500,4.1.4,1,25,25,0,0,CENTER,Cash,,26/07/2018
181290,26/07/2018,,,26/07/2018,Other,00000024,$,50,50,0,098-0351-580,4.1.4,1,25,25,0,0,CENTER,Cash,,26/07/2018
764900,26/07/2018,,,26/07/2018,Electric,00000015,$,1942.15,2350,0,5ROM03000100,4.1.1,1,1942.14876,1942.14876,0,0,CENTER,MercadoPago,,26/07/2018
436711,27/07/2018,,,26/08/2018,Electric,00000016,$,144.63,175,0,MGS28044CH,4.1.1,1,144.6280992,144.6280992,0,0,CENTER,Check,,27/07/2018
694208,27/07/2018,,,27/07/2018,Electric,00000017,$,305.79,370,0,JB900BK,4.1.1,1,305.785124,305.785124,0,0,CENTER,Cash,,27/07/2018
332339,27/07/2018,,,27/07/2018,Electric,00000001,$,4990.91,6039,0,5SUN01000114,4.1.1,1,4537.190083,4537.190083,0,0,CENTER,Cash,,27/07/2018
332339,27/07/2018,,,27/07/2018,Electric,00000001,$,4990.91,6039,0,ADICIONAL,4.1.1,1,453.7190083,453.7190083,0,0,CENTER,Cash,,27/07/2018
332339,27/07/2018,,,27/07/2018,Electric,00000002,$,633.06,766,0,RSRAI,4.1.1,1,633.0578512,633.0578512,0,0,CENTER,Cash,,27/07/2018
544226,27/07/2018,,,27/07/2018,Other,00000025,$,1177.69,1425,0,UK10N,4.1.1,1,1177.68595,1177.68595,0,0,CENTER,Cash,,27/07/2018
402498,27/07/2018,,,27/07/2018,Other,00000026,$,1300,1300,0,REMERA,4.1.4,2,650,1300,0,0,CENTER,Cash,,27/07/2018
